antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,zhangs_metric,jaccard,certainty,kulczynski
DiagnosisCode_very_high,"ProcedureCode_very_high, ClaimAmount_very_high, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
DiagnosisCode_low,"ProcedureCode_low, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"DiagnosisCode_very_high, ClaimDate_unknown_date",ProcedureCode_very_high,0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
ProcedureCode_low,"DiagnosisCode_low, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"ProcedureCode_very_high, ClaimAmount_very_high",DiagnosisCode_very_high,0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"DiagnosisCode_medium, ClaimAmount_high","ProcedureCode_medium, ClaimDate_unknown_date",0.19,0.29,0.19,1.0,3.4,1.0,0.14,0.88,0.66,1.0,0.83
"DiagnosisCode_medium, ClaimAmount_high",ProcedureCode_medium,0.19,0.29,0.19,1.0,3.4,1.0,0.14,0.88,0.66,1.0,0.83
"DiagnosisCode_medium, ClaimAmount_high, ClaimDate_unknown_date",ProcedureCode_medium,0.19,0.29,0.19,1.0,3.4,1.0,0.14,0.88,0.66,1.0,0.83
"PatientIncome_very_high_income, DiagnosisCode_high",ProcedureCode_high,0.12,0.31,0.12,1.0,3.27,1.0,0.08,0.79,0.39,1.0,0.69
"PatientIncome_very_high_income, ClaimDate_unknown_date, DiagnosisCode_high",ProcedureCode_high,0.12,0.31,0.12,1.0,3.27,1.0,0.08,0.79,0.39,1.0,0.69
"PatientIncome_very_high_income, DiagnosisCode_high","ProcedureCode_high, ClaimDate_unknown_date",0.12,0.31,0.12,1.0,3.27,1.0,0.08,0.79,0.39,1.0,0.69
"DiagnosisCode_medium, PatientIncome_very_high_income",ProcedureCode_medium,0.1,0.29,0.1,1.0,3.4,1.0,0.07,0.79,0.35,1.0,0.67
"DiagnosisCode_medium, PatientIncome_very_high_income, ClaimDate_unknown_date",ProcedureCode_medium,0.1,0.29,0.1,1.0,3.4,1.0,0.07,0.79,0.35,1.0,0.67
"DiagnosisCode_medium, PatientIncome_very_high_income","ProcedureCode_medium, ClaimDate_unknown_date",0.1,0.29,0.1,1.0,3.4,1.0,0.07,0.79,0.35,1.0,0.67
"DiagnosisCode_low, ClaimDate_unknown_date, ClaimAmount_medium",ProcedureCode_low,0.1,0.2,0.1,1.0,4.98,1.0,0.08,0.89,0.5,1.0,0.75
"DiagnosisCode_low, ClaimAmount_medium",ProcedureCode_low,0.1,0.2,0.1,1.0,4.98,1.0,0.08,0.89,0.5,1.0,0.75
"ProcedureCode_low, ClaimDate_unknown_date, ClaimAmount_medium",DiagnosisCode_low,0.1,0.2,0.1,1.0,4.98,1.0,0.08,0.89,0.5,1.0,0.75
"DiagnosisCode_low, ClaimAmount_medium","ProcedureCode_low, ClaimDate_unknown_date",0.1,0.2,0.1,1.0,4.98,1.0,0.08,0.89,0.5,1.0,0.75
"ProcedureCode_low, ClaimAmount_medium","DiagnosisCode_low, ClaimDate_unknown_date",0.1,0.2,0.1,1.0,4.98,1.0,0.08,0.89,0.5,1.0,0.75
"ProcedureCode_low, ClaimAmount_medium",DiagnosisCode_low,0.1,0.2,0.1,1.0,4.98,1.0,0.08,0.89,0.5,1.0,0.75
"ProcedureCode_very_high, ClaimDate_unknown_date",DiagnosisCode_very_high,0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
ProcedureCode_very_high,"DiagnosisCode_very_high, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
ProcedureCode_very_high,"ClaimAmount_very_high, DiagnosisCode_very_high",0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
"ProcedureCode_very_high, ClaimDate_unknown_date","ClaimAmount_very_high, DiagnosisCode_very_high",0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
ProcedureCode_very_high,"ClaimAmount_very_high, DiagnosisCode_very_high, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
ProcedureCode_very_high,DiagnosisCode_very_high,0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
DiagnosisCode_medium,"ProcedureCode_medium, ClaimDate_unknown_date",0.29,0.29,0.29,1.0,3.4,1.0,0.21,1.0,0.99,1.0,1.0
"DiagnosisCode_medium, ClaimDate_unknown_date",ProcedureCode_medium,0.29,0.29,0.29,1.0,3.4,1.0,0.21,1.0,0.99,1.0,1.0
DiagnosisCode_medium,ProcedureCode_medium,0.29,0.29,0.29,1.0,3.4,1.0,0.21,1.0,0.99,1.0,1.0
"ProcedureCode_high, ClaimDate_unknown_date",DiagnosisCode_high,0.31,0.31,0.3,1.0,3.26,1.0,0.21,1.0,0.99,1.0,1.0
ProcedureCode_high,DiagnosisCode_high,0.31,0.31,0.3,1.0,3.26,1.0,0.21,1.0,0.99,1.0,1.0
ProcedureCode_high,"ClaimDate_unknown_date, DiagnosisCode_high",0.31,0.31,0.3,1.0,3.26,1.0,0.21,1.0,0.99,1.0,1.0
ProcedureCode_medium,"DiagnosisCode_medium, ClaimDate_unknown_date",0.29,0.29,0.29,1.0,3.4,1.0,0.21,1.0,0.99,1.0,1.0
ProcedureCode_medium,DiagnosisCode_medium,0.29,0.29,0.29,1.0,3.4,1.0,0.21,1.0,0.99,1.0,1.0
"ProcedureCode_medium, ClaimDate_unknown_date",DiagnosisCode_medium,0.29,0.29,0.29,1.0,3.4,1.0,0.21,1.0,0.99,1.0,1.0
"PatientIncome_very_high_income, ProcedureCode_high","ClaimDate_unknown_date, DiagnosisCode_high",0.12,0.31,0.12,1.0,3.26,1.0,0.08,0.79,0.39,0.99,0.69
"PatientIncome_very_high_income, ProcedureCode_high",DiagnosisCode_high,0.12,0.31,0.12,1.0,3.26,1.0,0.08,0.79,0.39,0.99,0.69
"PatientIncome_very_high_income, ProcedureCode_high, ClaimDate_unknown_date",DiagnosisCode_high,0.12,0.31,0.12,1.0,3.26,1.0,0.08,0.79,0.39,0.99,0.69
"ClaimDate_unknown_date, DiagnosisCode_high",ProcedureCode_high,0.31,0.31,0.3,1.0,3.26,1.0,0.21,1.0,0.99,0.99,1.0
DiagnosisCode_high,"ProcedureCode_high, ClaimDate_unknown_date",0.31,0.31,0.3,1.0,3.26,1.0,0.21,1.0,0.99,0.99,1.0
DiagnosisCode_high,ProcedureCode_high,0.31,0.31,0.3,1.0,3.26,1.0,0.21,1.0,0.99,0.99,1.0
"ClaimAmount_high, ProcedureCode_medium, ClaimDate_unknown_date",DiagnosisCode_medium,0.2,0.29,0.19,1.0,3.39,1.0,0.14,0.88,0.66,0.99,0.83
"ClaimAmount_high, ProcedureCode_medium","DiagnosisCode_medium, ClaimDate_unknown_date",0.2,0.29,0.19,1.0,3.39,1.0,0.14,0.88,0.66,0.99,0.83
"ClaimAmount_high, ProcedureCode_medium",DiagnosisCode_medium,0.2,0.29,0.19,1.0,3.39,1.0,0.14,0.88,0.66,0.99,0.83
"ClaimAmount_high, ClaimDate_unknown_date, DiagnosisCode_high",ProcedureCode_high,0.21,0.31,0.21,0.99,3.26,1.0,0.15,0.88,0.69,0.99,0.84
"ClaimAmount_high, DiagnosisCode_high","ProcedureCode_high, ClaimDate_unknown_date",0.21,0.31,0.21,0.99,3.26,1.0,0.15,0.88,0.69,0.99,0.84
"ClaimAmount_high, DiagnosisCode_high",ProcedureCode_high,0.21,0.31,0.21,0.99,3.26,1.0,0.15,0.88,0.69,0.99,0.84
"ClaimDate_unknown_date, DiagnosisCode_high",ClaimAmount_high,0.31,0.41,0.21,0.69,1.71,1.0,0.09,0.6,0.42,0.49,0.61
DiagnosisCode_high,ClaimAmount_high,0.31,0.41,0.21,0.69,1.71,1.0,0.09,0.6,0.42,0.49,0.61
DiagnosisCode_high,"ClaimAmount_high, ClaimDate_unknown_date",0.31,0.41,0.21,0.69,1.71,1.0,0.09,0.6,0.42,0.49,0.61
"ProcedureCode_high, DiagnosisCode_high",ClaimAmount_high,0.3,0.41,0.21,0.69,1.7,1.0,0.09,0.59,0.42,0.48,0.61
"ProcedureCode_high, ClaimDate_unknown_date, DiagnosisCode_high",ClaimAmount_high,0.3,0.41,0.21,0.69,1.7,1.0,0.09,0.59,0.42,0.48,0.61
"ProcedureCode_high, DiagnosisCode_high","ClaimAmount_high, ClaimDate_unknown_date",0.3,0.41,0.21,0.69,1.7,1.0,0.09,0.59,0.42,0.48,0.61
ProcedureCode_high,ClaimAmount_high,0.31,0.41,0.21,0.69,1.7,1.0,0.09,0.59,0.42,0.48,0.61
"ProcedureCode_high, ClaimDate_unknown_date",ClaimAmount_high,0.31,0.41,0.21,0.69,1.7,1.0,0.09,0.59,0.42,0.48,0.61
ProcedureCode_high,"ClaimAmount_high, ClaimDate_unknown_date",0.31,0.41,0.21,0.69,1.7,1.0,0.09,0.59,0.42,0.48,0.61
"ProcedureCode_high, ClaimDate_unknown_date","ClaimAmount_high, DiagnosisCode_high",0.31,0.21,0.21,0.69,3.26,1.0,0.15,1.0,0.69,0.61,0.84
ProcedureCode_high,"ClaimAmount_high, DiagnosisCode_high",0.31,0.21,0.21,0.69,3.26,1.0,0.15,1.0,0.69,0.61,0.84
ProcedureCode_high,"ClaimAmount_high, ClaimDate_unknown_date, DiagnosisCode_high",0.31,0.21,0.21,0.69,3.26,1.0,0.15,1.0,0.69,0.61,0.84
DiagnosisCode_high,"ClaimAmount_high, ProcedureCode_high",0.31,0.21,0.21,0.69,3.26,1.0,0.15,1.0,0.69,0.61,0.85
"ClaimDate_unknown_date, DiagnosisCode_high","ClaimAmount_high, ProcedureCode_high",0.31,0.21,0.21,0.69,3.26,1.0,0.15,1.0,0.69,0.61,0.85
DiagnosisCode_high,"ClaimAmount_high, ProcedureCode_high, ClaimDate_unknown_date",0.31,0.21,0.21,0.69,3.26,1.0,0.15,1.0,0.69,0.61,0.85
"ClaimAmount_very_high, ClaimDate_unknown_date",DiagnosisCode_very_high,0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ClaimAmount_very_high,"DiagnosisCode_very_high, ClaimDate_unknown_date",0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ClaimAmount_very_high,ProcedureCode_very_high,0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ClaimAmount_very_high,DiagnosisCode_very_high,0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
"ClaimAmount_very_high, ClaimDate_unknown_date",ProcedureCode_very_high,0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ClaimAmount_very_high,"ProcedureCode_very_high, ClaimDate_unknown_date",0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
"ClaimAmount_very_high, ClaimDate_unknown_date","ProcedureCode_very_high, DiagnosisCode_very_high",0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ClaimAmount_very_high,"ProcedureCode_very_high, DiagnosisCode_very_high, ClaimDate_unknown_date",0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ClaimAmount_very_high,"ProcedureCode_very_high, DiagnosisCode_very_high",0.29,0.2,0.2,0.68,3.4,1.0,0.14,1.0,0.68,0.6,0.84
ProcedureCode_medium,"ClaimAmount_high, ClaimDate_unknown_date",0.29,0.41,0.2,0.67,1.63,1.0,0.08,0.55,0.39,0.44,0.57
"ProcedureCode_medium, ClaimDate_unknown_date",ClaimAmount_high,0.29,0.41,0.2,0.67,1.63,1.0,0.08,0.55,0.39,0.44,0.57
ProcedureCode_medium,ClaimAmount_high,0.29,0.41,0.2,0.67,1.63,1.0,0.08,0.55,0.39,0.44,0.57
"DiagnosisCode_medium, ProcedureCode_medium",ClaimAmount_high,0.29,0.41,0.19,0.66,1.63,1.0,0.08,0.55,0.38,0.43,0.57
"DiagnosisCode_medium, ProcedureCode_medium, ClaimDate_unknown_date",ClaimAmount_high,0.29,0.41,0.19,0.66,1.63,1.0,0.08,0.55,0.38,0.43,0.57
"DiagnosisCode_medium, ProcedureCode_medium","ClaimAmount_high, ClaimDate_unknown_date",0.29,0.41,0.19,0.66,1.63,1.0,0.08,0.55,0.38,0.43,0.57
DiagnosisCode_medium,ClaimAmount_high,0.29,0.41,0.19,0.66,1.63,1.0,0.08,0.55,0.38,0.43,0.57
"DiagnosisCode_medium, ClaimDate_unknown_date",ClaimAmount_high,0.29,0.41,0.19,0.66,1.63,1.0,0.08,0.55,0.38,0.43,0.57
DiagnosisCode_medium,"ClaimAmount_high, ClaimDate_unknown_date",0.29,0.41,0.19,0.66,1.63,1.0,0.08,0.55,0.38,0.43,0.57
DiagnosisCode_medium,"ClaimAmount_high, ProcedureCode_medium",0.29,0.2,0.19,0.66,3.39,1.0,0.14,1.0,0.66,0.58,0.83
DiagnosisCode_medium,"ClaimAmount_high, ProcedureCode_medium, ClaimDate_unknown_date",0.29,0.2,0.19,0.66,3.39,1.0,0.14,1.0,0.66,0.58,0.83
"DiagnosisCode_medium, ClaimDate_unknown_date","ClaimAmount_high, ProcedureCode_medium",0.29,0.2,0.19,0.66,3.39,1.0,0.14,1.0,0.66,0.58,0.83
"ProcedureCode_medium, ClaimDate_unknown_date","DiagnosisCode_medium, ClaimAmount_high",0.29,0.19,0.19,0.66,3.4,1.0,0.14,1.0,0.66,0.58,0.83
ProcedureCode_medium,"DiagnosisCode_medium, ClaimAmount_high, ClaimDate_unknown_date",0.29,0.19,0.19,0.66,3.4,1.0,0.14,1.0,0.66,0.58,0.83
ProcedureCode_medium,"DiagnosisCode_medium, ClaimAmount_high",0.29,0.19,0.19,0.66,3.4,1.0,0.14,1.0,0.66,0.58,0.83
"ClaimAmount_high, ClaimDate_unknown_date",DiagnosisCode_high,0.41,0.31,0.21,0.52,1.71,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_high,"ClaimDate_unknown_date, DiagnosisCode_high",0.41,0.31,0.21,0.52,1.71,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_high,DiagnosisCode_high,0.41,0.31,0.21,0.52,1.71,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_high,ProcedureCode_high,0.41,0.31,0.21,0.52,1.7,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_high,"ProcedureCode_high, ClaimDate_unknown_date",0.41,0.31,0.21,0.52,1.7,1.0,0.09,0.7,0.42,0.31,0.61
"ClaimAmount_high, ClaimDate_unknown_date",ProcedureCode_high,0.41,0.31,0.21,0.52,1.7,1.0,0.09,0.7,0.42,0.31,0.61
"ClaimAmount_high, ClaimDate_unknown_date","ProcedureCode_high, DiagnosisCode_high",0.41,0.3,0.21,0.52,1.7,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_high,"ProcedureCode_high, DiagnosisCode_high",0.41,0.3,0.21,0.52,1.7,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_high,"ProcedureCode_high, ClaimDate_unknown_date, DiagnosisCode_high",0.41,0.3,0.21,0.52,1.7,1.0,0.09,0.7,0.42,0.31,0.61
ClaimAmount_medium,"ProcedureCode_low, ClaimDate_unknown_date",0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
"ClaimDate_unknown_date, ClaimAmount_medium",ProcedureCode_low,0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
ClaimAmount_medium,DiagnosisCode_low,0.2,0.2,0.1,0.51,2.53,1.0,0.06,0.76,0.34,0.38,0.51
